date,code,open,high,low,close,volume,amount
2014-09-22,sh.000300,2419.3260,2419.3260,2374.1080,2378.9200,10224087000,88958056522.0000
2014-09-23,sh.000300,2379.5210,2402.4820,2379.5210,2399.4620,8403334100,75463683722.0000
2014-09-24,sh.000300,2391.4190,2443.9780,2387.0700,2441.8640,14271353000,120389934642.0000
2014-09-25,sh.000300,2453.4230,2462.6680,2429.5870,2436.9650,13866189100,119612625726.0000
2014-09-26,sh.000300,2430.8080,2439.6490,2420.4990,2437.2010,10029949400,87757377938.0000
2014-09-29,sh.000300,2443.9100,2453.6650,2435.6110,2447.7990,12340172700,111463779824.0000
2014-09-30,sh.000300,2452.1660,2454.8850,2444.2040,2450.9880,11580422900,101906558841.0000
2014-10-08,sh.000300,2460.8700,2478.3830,2445.2680,2478.3830,12195360400,116500107810.0000
2014-10-09,sh.000300,2480.1970,2488.1130,2461.1120,2481.9550,13792392000,120752628433.0000
2014-10-10,sh.000300,2472.0960,2482.1360,2457.6840,2466.7890,14763430700,121924973049.0000
2014-10-13,sh.000300,2457.4120,2460.3890,2430.5460,2454.9460,13159336200,112784478808.0000
2014-10-14,sh.000300,2451.0940,2467.9040,2436.3360,2446.5620,12739370500,106356643094.0000
2014-10-15,sh.000300,2444.5380,2465.4980,2431.1880,2463.8740,13580188200,114837290107.0000
2014-10-16,sh.000300,2448.9680,2480.3000,2441.8220,2444.3950,15816660300,128340525473.0000
2014-10-17,sh.000300,2443.2220,2456.1050,2410.4010,2441.7320,13275998800,112685625525.0000
2014-10-20,sh.000300,2448.4530,2456.6210,2441.8960,2454.7110,9143540100,84843604900.0000
2014-10-21,sh.000300,2453.4060,2459.2550,2432.5520,2433.3910,9624191200,86622201933.0000
2014-10-22,sh.000300,2434.8860,2447.4670,2417.5620,2418.6410,8865619300,82251744245.0000
2014-10-23,sh.000300,2415.4400,2424.6620,2392.5320,2395.9360,10349183900,86045452830.0000
2014-10-24,sh.000300,2397.8480,2404.9930,2385.7250,2390.7060,7497486900,65601225156.0000
2014-10-27,sh.000300,2377.5420,2377.5420,2361.6800,2368.8320,7386244700,65956480803.0000
2014-10-28,sh.000300,2373.1550,2416.7660,2373.1550,2416.6530,10152305500,90529903107.0000
2014-10-29,sh.000300,2423.8130,2461.2680,2415.7030,2451.3840,15858406200,134541723619.0000
2014-10-30,sh.000300,2450.3610,2474.3760,2443.7590,2468.9250,18962635300,139157358014.0000
2014-10-31,sh.000300,2473.5010,2512.1890,2466.5040,2508.3250,23917241200,181604617039.0000
2014-11-03,sh.000300,2515.8240,2524.1720,2502.0600,2512.5480,20580122800,151406835108.0000
2014-11-04,sh.000300,2511.0360,2517.4600,2498.6050,2513.1720,21824700500,155291882550.0000
2014-11-05,sh.000300,2516.8700,2519.3990,2499.2280,2503.4480,19049186200,146130895120.0000
2014-11-06,sh.000300,2505.1670,2510.9850,2482.9830,2506.0670,14965111700,118839203631.0000
2014-11-07,sh.000300,2508.7650,2541.5490,2489.4190,2502.1530,20876091100,176868665325.0000
2014-11-10,sh.000300,2529.8300,2565.7300,2514.7100,2565.7300,22659973500,187612569248.0000
2014-11-11,sh.000300,2578.4380,2602.3730,2532.5720,2558.6120,32371165600,265840509803.0000
2014-11-12,sh.000300,2545.4030,2594.3180,2539.6010,2594.3180,18468626100,157847382809.0000
2014-11-13,sh.000300,2597.3890,2607.5190,2567.4630,2579.7500,21981561500,192985452900.0000
2014-11-14,sh.000300,2569.2110,2581.9320,2557.6660,2581.0930,16504996500,145409933865.0000
2014-11-17,sh.000300,2613.5130,2614.0860,2565.9430,2567.1010,15847809500,147724645089.0000
2014-11-18,sh.000300,2565.2730,2570.2110,2534.9270,2541.4160,14294135600,124246649435.0000
2014-11-19,sh.000300,2538.2330,2550.5000,2531.3180,2537.2230,12214697400,113031721938.0000
2014-11-20,sh.000300,2528.7800,2545.4730,2522.8360,2537.0990,10614986400,98145538650.0000
2014-11-21,sh.000300,2537.5380,2585.3620,2530.0320,2583.4550,15102813900,143750813260.0000
2014-11-24,sh.000300,2614.1600,2667.6710,2602.9440,2649.2580,27983972000,264974912281.0000
2014-11-25,sh.000300,2650.0850,2686.0630,2643.8430,2685.5610,22261169900,206879208489.0000
2014-11-26,sh.000300,2695.2630,2723.3600,2690.3100,2723.0180,24396248500,239333899163.0000
2014-11-27,sh.000300,2737.0300,2754.4900,2718.7040,2754.4900,26546473000,261164877169.0000
2014-11-28,sh.000300,2753.9250,2809.5430,2740.3740,2808.8190,37532366200,330256023242.0000
2014-12-01,sh.000300,2825.6110,2855.3320,2808.6530,2819.8120,36548741700,338833084229.0000
2014-12-02,sh.000300,2807.3380,2944.5060,2804.2930,2923.9400,36146532200,341185189116.0000
2014-12-03,sh.000300,2936.1240,3028.2250,2912.2460,2967.5490,46615668500,464857500377.0000
2014-12-04,sh.000300,2975.4030,3104.8900,2968.8760,3104.3510,42681292800,433875560243.0000
2014-12-05,sh.000300,3143.9680,3195.7980,3011.9360,3124.8850,52488126000,554362904944.0000
2014-12-08,sh.000300,3108.2720,3270.8810,3075.7000,3252.8810,48446234400,515773683037.0000
2014-12-09,sh.000300,3233.0970,3387.8270,3074.5160,3106.9130,63287456700,702150099247.0000
2014-12-10,sh.000300,3120.2120,3229.0470,3058.1910,3221.5460,42501870800,477300103105.0000
2014-12-11,sh.000300,3185.1610,3254.4240,3158.4430,3183.0120,36709169100,392944833604.0000
2014-12-12,sh.000300,3182.9230,3239.4470,3167.9280,3193.2270,30106532500,337817436996.0000
2014-12-15,sh.000300,3176.8290,3226.2210,3143.2970,3217.2280,29019383400,326668040798.0000
2014-12-16,sh.000300,3221.3580,3303.4020,3207.6880,3303.4020,35812384700,425665729151.0000
2014-12-17,sh.000300,3325.8200,3368.1940,3275.7360,3360.5980,44814077000,527748937956.0000
2014-12-18,sh.000300,3359.0900,3393.7110,3322.2290,3345.9270,35597020700,416260448852.0000
2014-12-19,sh.000300,3345.6290,3397.1830,3280.9160,3383.1670,41121159000,435516864940.0000
2014-12-22,sh.000300,3396.2510,3455.2070,3357.6610,3394.4810,54980167100,537021101759.0000
2014-12-23,sh.000300,3358.7980,3431.7790,3316.9130,3324.9240,36973609300,377227774057.0000
2014-12-24,sh.000300,3332.1460,3340.3570,3188.4950,3230.3850,31744958700,339475799573.0000
2014-12-25,sh.000300,3254.4800,3335.7790,3226.3220,3335.4190,30979954700,330128939928.0000
2014-12-26,sh.000300,3343.6400,3453.3380,3335.0120,3445.8390,38461412400,438838427110.0000
2014-12-29,sh.000300,3502.1830,3524.2800,3405.8360,3455.4550,42501503700,505004508391.0000
2014-12-30,sh.000300,3450.8140,3491.8260,3422.1740,3457.5540,32823387300,394607772399.0000
2014-12-31,sh.000300,3462.3890,3542.3400,3452.4980,3533.7050,34593476000,403710888146.0000
2015-01-05,sh.000300,3566.0890,3669.0420,3551.5100,3641.5410,45119809800,519849817448.0000
2015-01-06,sh.000300,3608.4280,3683.2260,3587.2310,3641.0590,42096218500,498529588258.0000
2015-01-07,sh.000300,3620.9240,3671.1900,3601.6980,3643.7900,32019123200,398731720502.0000
2015-01-08,sh.000300,3650.0730,3659.9450,3552.1000,3559.2590,29500304500,355831967325.0000
2015-01-09,sh.000300,3547.5740,3689.7530,3536.3950,3546.7230,34998267200,430210592272.0000
2015-01-12,sh.000300,3531.5150,3560.5270,3461.3220,3513.5760,26656717500,334257133083.0000
2015-01-13,sh.000300,3506.4510,3550.1580,3494.7680,3514.0400,18715396500,250796676069.0000
2015-01-14,sh.000300,3522.9070,3547.2420,3471.5600,3502.4230,19601251000,241285837533.0000
2015-01-15,sh.000300,3501.7190,3604.1210,3482.2700,3604.1210,23781233800,303445351108.0000
2015-01-16,sh.000300,3616.2480,3662.1580,3601.2580,3635.1460,28268161400,355568710742.0000
2015-01-19,sh.000300,3414.0130,3497.2520,3330.9810,3355.1550,32950527500,366017532103.0000
2015-01-20,sh.000300,3336.7930,3419.2040,3325.6810,3396.2220,29784323200,381917903845.0000
2015-01-21,sh.000300,3420.4910,3557.7940,3409.4300,3548.8850,33792821000,425433704264.0000
2015-01-22,sh.000300,3551.0520,3576.7560,3520.0530,3567.6130,26885359900,345026040998.0000
2015-01-23,sh.000300,3582.0880,3627.8060,3548.6260,3571.7320,28017217200,361835546416.0000
2015-01-26,sh.000300,3580.1180,3611.6170,3559.3760,3607.9850,23976620300,309585710088.0000
2015-01-27,sh.000300,3614.0380,3616.2580,3510.0170,3574.9310,28766917900,357548249621.0000
2015-01-28,sh.000300,3547.2390,3583.3120,3512.3930,3525.3230,21622021400,278749164896.0000
2015-01-29,sh.000300,3474.9150,3505.5820,3453.9010,3481.7980,21161886000,251897926442.0000
2015-01-30,sh.000300,3496.8850,3514.2170,3431.9360,3434.3900,19647915700,237420793858.0000
2015-02-02,sh.000300,3360.1930,3407.2560,3347.0850,3353.9600,19518369900,224837769887.0000
2015-02-03,sh.000300,3388.6020,3441.7090,3360.7170,3437.4450,19284609600,241100023193.0000
2015-02-04,sh.000300,3446.1440,3476.8170,3399.5650,3401.7680,19130434900,244034297155.0000
2015-02-05,sh.000300,3487.9510,3487.9510,3366.8620,3366.9460,25043060900,311523669172.0000
