ts_code,trade_date,adj_factor
600696.SH,20240920,3.304
600696.SH,20240919,3.304
600696.SH,20240918,3.304
600696.SH,20240913,3.304
600696.SH,20240912,3.304
600696.SH,20240911,3.304
600696.SH,20240910,3.304
600696.SH,20240909,3.304
600696.SH,20240906,3.304
600696.SH,20240905,3.304
600696.SH,20240904,3.304
600696.SH,20240903,3.304
600696.SH,20240902,3.304
600696.SH,20240830,3.304
600696.SH,20240829,3.304
600696.SH,20240828,3.304
600696.SH,20240827,3.304
600696.SH,20240826,3.304
600696.SH,20240823,3.304
600696.SH,20240822,3.304
600696.SH,20240821,3.304
600696.SH,20240820,3.304
600696.SH,20240819,3.304
600696.SH,20240816,3.304
600696.SH,20240815,3.304
600696.SH,20240814,3.304
600696.SH,20240813,3.304
600696.SH,20240812,3.304
600696.SH,20240809,3.304
600696.SH,20240808,3.304
600696.SH,20240807,3.304
600696.SH,20240806,3.304
600696.SH,20240805,3.304
600696.SH,20240802,3.304
600696.SH,20240801,3.304
600696.SH,20240731,3.304
600696.SH,20240730,3.304
600696.SH,20240729,3.304
600696.SH,20240726,3.304
600696.SH,20240725,3.304
600696.SH,20240724,3.304
600696.SH,20240723,3.304
600696.SH,20240722,3.304
600696.SH,20240719,3.304
600696.SH,20240718,3.304
600696.SH,20240717,3.304
600696.SH,20240716,3.304
600696.SH,20240715,3.304
600696.SH,20240712,3.304
600696.SH,20240711,3.304
600696.SH,20240710,3.304
600696.SH,20240709,3.304
600696.SH,20240708,3.304
600696.SH,20240705,3.304
600696.SH,20240704,3.304
600696.SH,20240703,3.304
600696.SH,20240702,3.304
600696.SH,20240701,3.304
600696.SH,20240628,3.304
600696.SH,20240627,3.304
600696.SH,20240626,3.304
600696.SH,20240625,3.3039
600696.SH,20240624,3.304
600696.SH,20240621,3.304
600696.SH,20240620,3.304
600696.SH,20240619,3.304
600696.SH,20240618,3.304
600696.SH,20240617,3.304
600696.SH,20240614,3.304
600696.SH,20240613,3.304
600696.SH,20240612,3.304
600696.SH,20240611,3.304
600696.SH,20240607,3.304
600696.SH,20240606,3.304
600696.SH,20240605,3.304
600696.SH,20240604,3.304
600696.SH,20240603,3.304
600696.SH,20240531,3.304
600696.SH,20240530,3.304
600696.SH,20240529,3.304
600696.SH,20240528,3.304
600696.SH,20240527,3.304
600696.SH,20240524,3.304
600696.SH,20240523,3.304
600696.SH,20240522,3.304
600696.SH,20240521,3.304
600696.SH,20240520,3.304
600696.SH,20240517,3.304
600696.SH,20240516,3.304
600696.SH,20240515,3.304
600696.SH,20240514,3.304
600696.SH,20240513,3.304
600696.SH,20240510,3.304
600696.SH,20240509,3.304
600696.SH,20240508,3.304
600696.SH,20240507,3.304
600696.SH,20240506,3.304
600696.SH,20240430,3.304
600696.SH,20240429,3.304
600696.SH,20240426,3.304
600696.SH,20240425,3.304
600696.SH,20240424,3.304
600696.SH,20240423,3.304
600696.SH,20240422,3.304
600696.SH,20240419,3.304
600696.SH,20240418,3.304
